date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team,away_team,teamA_PTS,teamB_PTS,teamA_FG_PCT,teamB_FG_PCT,teamA_FT_PCT,teamB_FT_PCT,teamA_FG3_PCT,teamB_FG3_PCT,teamA_AST,teamB_AST,teamA_REB,teamB_REB
2016-10-27,2017,atlanta,washington,1,114,99,-175.0,155.0,201.5,3.5,101.0,2016-10-27,21600014.0,Final,1610612737.0,1610612764.0,2016.0,1610612737.0,114.0,0.5,0.778,0.462,28.0,52.0,1610612764.0,99.0,0.426,0.722,0.3,25.0,40.0,1.0,atlanta,washington,114.0,99.0,0.5,0.426,0.778,0.722,0.462,0.3,28.0,25.0,52.0,40.0
2016-10-27,2017,la clippers,portland,0,114,106,-140.0,120.0,210.0,2.5,105.5,2016-10-27,21600017.0,Final,1610612757.0,1610612746.0,2016.0,1610612757.0,106.0,0.4589999999999999,0.75,0.222,18.0,48.0,1610612746.0,114.0,0.407,0.696,0.276,12.0,48.0,0.0,portland,la clippers,114.0,106.0,0.407,0.4589999999999999,0.696,0.75,0.276,0.222,12.0,18.0,48.0,48.0
2016-10-27,2017,boston,chicago,0,99,105,-105.0,-115.0,208.5,-1.0,106.5,2016-10-27,21600015.0,Final,1610612741.0,1610612738.0,2016.0,1610612741.0,105.0,0.391,0.733,0.44,25.0,55.0,1610612738.0,99.0,0.5,0.625,0.348,22.0,36.0,1.0,chicago,boston,99.0,105.0,0.5,0.391,0.625,0.733,0.348,0.44,22.0,25.0,36.0,55.0
2016-10-27,2017,sacramento,san antonio,1,94,102,295.0,-360.0,203.0,-7.5,107.5,2016-10-27,21600016.0,Final,1610612758.0,1610612759.0,2016.0,1610612758.0,94.0,0.4,0.8420000000000001,0.3,22.0,40.0,1610612759.0,102.0,0.456,0.889,0.3329999999999999,23.0,40.0,0.0,sacramento,san antonio,94.0,102.0,0.4,0.456,0.8420000000000001,0.889,0.3,0.3329999999999999,22.0,23.0,40.0,40.0
2016-10-28,2017,la lakers,utah,0,89,96,370.0,-465.0,202.0,-9.0,100.0,2016-10-28,21600024.0,Final,1610612762.0,1610612747.0,2016.0,1610612762.0,96.0,0.413,0.7,0.24,14.0,47.0,1610612747.0,89.0,0.381,0.762,0.391,16.0,43.0,1.0,utah,la lakers,89.0,96.0,0.381,0.413,0.762,0.7,0.391,0.24,16.0,14.0,43.0,47.0
2016-10-28,2017,golden state,new orleans,0,122,114,-1000.0,700.0,223.5,12.5,110.5,2016-10-28,21600025.0,Final,1610612740.0,1610612744.0,2016.0,1610612740.0,114.0,0.47,0.652,0.2269999999999999,29.0,49.0,1610612744.0,122.0,0.484,0.893,0.321,32.0,49.0,0.0,new orleans,golden state,122.0,114.0,0.484,0.47,0.893,0.652,0.321,0.2269999999999999,32.0,29.0,49.0,49.0
2016-10-28,2017,cleveland,toronto,0,94,91,-145.0,125.0,205.5,2.5,100.5,2016-10-28,21600018.0,Final,1610612761.0,1610612739.0,2016.0,1610612761.0,91.0,0.389,0.944,0.25,12.0,51.0,1610612739.0,94.0,0.418,0.727,0.375,20.0,40.0,0.0,toronto,cleveland,94.0,91.0,0.418,0.389,0.727,0.944,0.375,0.25,20.0,12.0,40.0,51.0
2016-10-28,2017,dallas,houston,1,98,106,110.0,-130.0,218.5,-2.0,107.0,2016-10-28,21600023.0,Final,1610612742.0,1610612745.0,2016.0,1610612742.0,98.0,0.4379999999999999,0.833,0.276,13.0,34.0,1610612745.0,106.0,0.471,0.8059999999999999,0.469,21.0,41.0,0.0,dallas,houston,98.0,106.0,0.4379999999999999,0.471,0.833,0.8059999999999999,0.276,0.469,13.0,21.0,34.0,41.0
2016-10-28,2017,charlotte,miami,0,97,91,-120.0,100.0,197.0,1.5,97.5,2016-10-28,21600022.0,Final,1610612748.0,1610612766.0,2016.0,1610612748.0,91.0,0.3720000000000001,0.65,0.412,19.0,52.0,1610612766.0,97.0,0.38,0.833,0.318,20.0,49.0,0.0,miami,charlotte,97.0,91.0,0.38,0.3720000000000001,0.833,0.65,0.318,0.412,20.0,19.0,49.0,52.0
2016-10-28,2017,brooklyn,indiana,1,103,94,190.0,-230.0,218.5,-5.5,109.5,2016-10-28,21600019.0,Final,1610612751.0,1610612754.0,2016.0,1610612751.0,103.0,0.4370000000000001,0.85,0.303,20.0,52.0,1610612754.0,94.0,0.3779999999999999,0.65,0.292,22.0,49.0,1.0,brooklyn,indiana,103.0,94.0,0.4370000000000001,0.3779999999999999,0.85,0.65,0.303,0.292,20.0,22.0,52.0,49.0
