date,season,score_diff,spread,teamA_moneyLine,teamB_moneyLine,pred_score_diff,pred_std,A_win_prob,B_win_prob,bet_A_adj_EV,bet_B_adj_EV,bet_A,bet_B,bet_team,profit,month_start
2018-11-01,2019,-13,-8.0,275.0,-350.0,-13.741577267716638,4.217868266525651,0.0005611133787861711,0.9994388866212138,-0.9978958248295519,-0.2861150809848473,False,False,None,0.0,2018-11-01
2018-11-01,2019,-19,-5.0,185.0,-230.0,-4.482020108748803,2.2607114597309628,0.023707706206489543,0.9762922937935105,-0.9324330373115048,-0.44818261655149405,False,False,None,0.0,2018-11-01
2018-11-01,2019,-4,1.0,-120.0,100.0,-10.991465133610955,2.815239275811236,4.725435620267504e-05,0.9999527456437973,-0.9999921242739662,0.9999054912875946,False,True,B,100.0,2018-11-01
2018-11-01,2019,-31,-2.0,115.0,-135.0,-4.558405090336644,3.070491429954581,0.06882691421489961,0.9311730857851004,-0.8520221344379658,-0.7585847555371962,False,False,None,0.0,2018-11-01
2018-11-01,2019,-9,-5.5,190.0,-240.0,-4.326774584597702,2.9749783188059933,0.07291929786437767,0.9270807021356223,-0.7885340361933048,-0.45920292375422034,False,False,None,0.0,2018-11-01
2018-11-01,2019,4,2.5,-140.0,120.0,0.2803299573596412,4.116186444734644,0.527148692515558,0.472851307484442,-0.8493860878526978,0.04027287646577249,False,False,None,0.0,2018-11-01
2018-11-02,2019,-8,-4.0,160.0,-190.0,1.6453004456940792,3.2395507934864023,0.6942309666078188,0.3057690333921812,0.8050005131803288,-0.85516203681423,True,False,A,-100.0,2018-11-01
2018-11-02,2019,10,-8.0,275.0,-350.0,-1.6564389307295742,4.068949876679476,0.34197003006609705,0.658029969933903,0.28238761274786395,-0.529978592904355,True,False,A,275.0,2018-11-01
2018-11-02,2019,23,-3.5,145.0,-170.0,-18.673972859460573,2.668160791624549,1.2906342661267445e-12,0.9999999999987094,-0.999999999996838,-0.5882352941181785,False,False,None,0.0,2018-11-01
2018-11-02,2019,25,3.5,-170.0,145.0,16.426816608929048,3.314730683843913,0.9999996396514966,3.603485033397052e-07,-0.5882354424964427,-0.9999991171461668,False,False,None,0.0,2018-11-01
2018-11-02,2019,-12,5.5,-250.0,200.0,6.975704830302561,6.024737021216099,0.8765361216175096,0.12346387838249034,-0.47407832702949426,-0.629608364852529,False,False,None,0.0,2018-11-01
2018-11-02,2019,17,10.5,-800.0,550.0,9.646520858814961,3.285685906366762,0.9983372157595102,0.0016627842404897757,-0.12645493621042858,-0.9891919024368164,False,False,None,0.0,2018-11-01
2018-11-02,2019,-2,-7.0,250.0,-310.0,-4.213211916085161,6.078625152100867,0.2441173688549464,0.7558826311450536,-0.14558920900768757,-0.4879504756759314,False,False,None,0.0,2018-11-01
2018-11-02,2019,-9,-10.0,450.0,-650.0,-6.12755303772297,2.976646016589796,0.019769031600016085,0.9802309683999839,-0.8912703261999115,-0.17057379596924438,False,False,None,0.0,2018-11-01
2018-11-03,2019,-10,-7.5,275.0,-350.0,-4.448050759521335,2.939393833104651,0.06510752071147519,0.9348924792885248,-0.755846797331968,-0.33221965765105366,False,False,None,0.0,2018-11-01
2018-11-03,2019,4,-3.5,135.0,-155.0,-12.020358208588535,2.6601215373418827,3.110654008042779e-06,0.999996889345992,-0.9999926899630811,-0.6451623941030351,False,False,None,0.0,2018-11-01
2018-11-03,2019,-1,3.5,-165.0,142.0,2.54719361321452,4.729607448358897,0.704905936812202,0.29509406318779796,-0.7223097824679204,-0.285872367085529,False,False,None,0.0,2018-11-01
2018-11-03,2019,-14,-2.0,105.0,-125.0,-3.1231986975005785,4.56395723342771,0.2468871492553525,0.7531128507446475,-0.4938813440265274,-0.8493774298510706,False,False,None,0.0,2018-11-01
2018-11-03,2019,-8,-8.5,325.0,-425.0,-2.617901322446916,4.8924714726843614,0.2962946063874923,0.7037053936125077,0.2592520771468423,-0.46187234606102356,True,False,A,-100.0,2018-11-01
2018-11-03,2019,32,10.0,-650.0,450.0,2.326061773926933,4.5456250837312515,0.6955745437841301,0.3044254562158699,-0.4114369244903515,0.6743400091872847,False,True,B,-100.0,2018-11-01
2018-11-03,2019,5,-5.5,190.0,-240.0,-4.4306710995198655,3.201313363511099,0.0831766733859507,0.9168233266140493,-0.758787647180743,-0.4651863928084713,False,False,None,0.0,2018-11-01
2018-11-03,2019,15,4.5,-190.0,160.0,19.873791494905504,5.4263556840681275,0.99987509589511,0.0001249041048899645,-0.5263749545760005,-0.9996752493272861,False,False,None,0.0,2018-11-01
2018-11-04,2019,-30,-6.0,225.0,-275.0,-16.148159487166122,2.655741959048444,5.991536156102484e-10,0.9999999994008464,-0.9999999980527507,-0.3636363640176432,False,False,None,0.0,2018-11-01
2018-11-04,2019,-2,4.0,-190.0,160.0,16.626454826319858,4.700413791601863,0.9997978279646255,0.0002021720353745056,-0.5264115551746511,-0.9994743527080263,False,False,None,0.0,2018-11-01
2018-11-04,2019,25,-4.0,150.0,-180.0,-5.749958839625262,5.208377723434071,0.13480032373341955,0.8651996762665805,-0.6629991906664512,-0.6154668105481864,False,False,None,0.0,2018-11-01
2018-11-04,2019,7,-7.5,280.0,-360.0,-10.796017834836778,4.207167946511044,0.005142443933915164,0.9948575560660848,-0.9804587130511224,-0.28149176506338314,False,False,None,0.0,2018-11-01
2018-11-04,2019,-14,1.5,-125.0,105.0,0.8080862438368122,2.8093726595872144,0.6131886059548188,0.3868113940451812,-0.8773622788090363,-0.2070366422073786,False,False,None,0.0,2018-11-01
